Country Name;Country Code;GDP(US)
Mauritania;MRT;5234817927
Mauritius;MUS;14220348673
Malawi;MWI;7064971176
Malaysia;MYS;358581943446
North America;NAC;22264345319869
Namibia;NAM;14521711634
New Caledonia;NCL;
Niger;NER;9290938457
Nigeria;NGA;397269616081
Nicaragua;NIC;13063873078
Netherlands;NLD;913658465709
Norway;NOR;434166615432
Nepal;NPL;29040398982
Nauru;NRU;125628504
New Zealand;NZL;204923917869
OECD members;OED;52676218073060
Oman;OMN;79276723017
Other small states;OSS;451622523275
Pakistan;PAK;314588210501
Panama;PAN;65055100000
Peru;PER;222044970486
Philippines;PHL;330910343611
Palau;PLW;283994900
Papua New Guinea;PNG;23497607690
Poland;POL;585663814824
Pre-demographic dividend;PRE;1324309007082
Puerto Rico;PRI;101130900000
Korea, Dem. People’s Rep.;PRK;
Portugal;PRT;240674524464
Paraguay;PRY;40496953779
West Bank and Gaza;PSE;14615900000
Pacific island small states;PSS;10381220343
Post-demographic dividend;PST;50090658241424
French Polynesia;PYF;
Qatar;QAT;191362087912
Romania;ROU;239552516744
Russian Federation;RUS;1657554647150
Rwanda;RWA;9508715596
South Asia;SAS;3452423671398
Saudi Arabia;SAU;786521831572
Sudan;SDN;40851536134
Senegal;SEN;24129599552
Singapore;SGP;364156657770
Solomon Islands;SLB;1395608472
Sierra Leone;SLE;4085114794
El Salvador;SLV;26057000000
San Marino;SMR;
Somalia;SOM;4720727278
Serbia;SRB;50597289147
Sub-Saharan Africa (excluding high income);SSA;1712104564679
South Sudan;SSD;
Sub-Saharan Africa;SSF;1713696237910
Small states;SST;535510906519
Sao Tome and Principe;STP;422296762
Suriname;SUR;3590753769
Slovak Republic;SVK;105904632156
Slovenia;SVN;54007972106
Sweden;SWE;556086488937
Eswatini;SWZ;4710618472
Sint Maarten (Dutch part);SXM;
Seychelles;SYC;1590180446
Syrian Arab Republic;SYR;
Turks and Caicos Islands;TCA;1022312010
Chad;TCD;11273115239
East Asia & Pacific (IDA & IBRD countries);TEA;16252249148983
Europe & Central Asia (IDA & IBRD countries);TEC;4057699335346
Togo;TGO;5356344850
Thailand;THA;504992757705
Tajikistan;TJK;7522947810
Turkmenistan;TKM;40761142857
Latin America & the Caribbean (IDA & IBRD countries);TLA;5578036651515
Timor-Leste;TLS;1568611562
Middle East & North Africa (IDA & IBRD countries);TMN;
Tonga;TON;450353314
South Asia (IDA & IBRD);TSA;3452423671398
Sub-Saharan Africa (IDA & IBRD countries);TSS;1713696237910
Trinidad and Tobago;TTO;23808146748
Tunisia;TUN;39871132268
Turkey;TUR;771350330455
Tuvalu;TUV;42587778
Tanzania;TZA;58001200572
Uganda;UGA;27461440192
Ukraine;UKR;130832374405
Upper middle income;UMC;24463734906087
Uruguay;URY;59596885024
United States;USA;20544343456937
Uzbekistan;UZB;50499921558
St. Vincent and the Grenadines;VCT;811300000
Venezuela, RB;VEN;
British Virgin Islands;VGB;
Virgin Islands (U.S.);VIR;
Vietnam;VNM;245213686369
Vanuatu;VUT;914301119
World;WLD;85930754374374
Samoa;WSM;820491798
Kosovo;XKX;7938990793
Yemen, Rep.;YEM;26914402224
South Africa;ZAF;368288939768
Zambia;ZMB;26720073436
Zimbabwe;ZWE;31000519447
